vehicleTypeId,curbWeightInKg,curbWeightSource
2047_Lexus_NX_300h,1700,default passenger-car weight
2047_BMW_M235ic2,1950,default passenger-car weight; plug-in hybrid adjustment
2047_Subaru_Outback_AWDc2,1950,default passenger-car weight; plug-in hybrid adjustment
2047_Honda_Odysseyc6,2450,van/minivan keyword in vehicleTypeId; plug-in hybrid adjustment
2047_GMC_Acadia_FWD,1700,default passenger-car weight
2047_Ford_Transit_Connect_Van_2WDc2,2600,van/minivan keyword in vehicleTypeId; battery-electric adjustment
2047_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2047_Toyota_Prius_v,1700,default passenger-car weight
2047_Ford_F150_Pickup_4WDc3,3000,pickup keyword in vehicleTypeId; battery-electric adjustment
2047_Buick_Regal_eAssist,1700,default passenger-car weight
2047_Kia_Soulc6,1850,default passenger-car weight; fuel-cell adjustment
2047_Honda_CR-V_4WDc5,2250,suv/crossover keyword in vehicleTypeId; fuel-cell adjustment
2047_Tesla_Model_Ye3,2100,default passenger-car weight; battery-electric adjustment
2047_Ram_1500_4WDc5,2600,pickup keyword in vehicleTypeId
2042_Toyota_Sienna_2WD,1700,default passenger-car weight
2042_Ram_1500_4WDc6,2750,pickup keyword in vehicleTypeId; fuel-cell adjustment
2042_Toyota_Prius_v,1700,default passenger-car weight
2042_Chrysler_Town_and_Countryc4,1950,default passenger-car weight; plug-in hybrid adjustment
2042_Subaru_Outback_AWDc2,1950,default passenger-car weight; plug-in hybrid adjustment
2042_Honda_Odysseyc5,2350,van/minivan keyword in vehicleTypeId; fuel-cell adjustment
2042_Honda_CR-V_4WDc5,2250,suv/crossover keyword in vehicleTypeId; fuel-cell adjustment
2042_Ford_F150_Pickup_4WDc3,3000,pickup keyword in vehicleTypeId; battery-electric adjustment
2042_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2042_Kia_Soulc6,1850,default passenger-car weight; fuel-cell adjustment
2042_MINI_Cooper_Pacemanc5,1950,default passenger-car weight; plug-in hybrid adjustment
2042_Lincoln_MKZ_Hybrid_FWD,1700,default passenger-car weight
2042_Ram_1500_4WDc5,2600,pickup keyword in vehicleTypeId
2042_Infiniti_QX60_Hybrid_FWD,1700,default passenger-car weight
2042_Tesla_Model_3e6e3e5,2100,default passenger-car weight; battery-electric adjustment
2042_Ford_Fusion_FWD,1700,default passenger-car weight
2042_Ford_Transit_Connect_Van_2WDc2,2600,van/minivan keyword in vehicleTypeId; battery-electric adjustment
2042_Tesla_Model_Ye5,2100,default passenger-car weight; battery-electric adjustment
2042_GMC_Acadia_FWD,1700,default passenger-car weight
2041_Ford_Transit_Connect_Van_2WDc2,2600,van/minivan keyword in vehicleTypeId; battery-electric adjustment
2041_Ram_1500_4WDc5,2600,pickup keyword in vehicleTypeId
2041_Tesla_Model_Ye5,2100,default passenger-car weight; battery-electric adjustment
2041_Chrysler_Town_and_Countryc4,1950,default passenger-car weight; plug-in hybrid adjustment
2041_Ram_1500_4WDc6,2850,pickup keyword in vehicleTypeId; plug-in hybrid adjustment
2041_Subaru_Outback_AWDc2,1950,default passenger-car weight; plug-in hybrid adjustment
2041_MINI_Cooper_Pacemanc5,1950,default passenger-car weight; plug-in hybrid adjustment
2041_Ford_Fusion_FWD,1700,default passenger-car weight
2041_Honda_Odysseyc5,2600,van/minivan keyword in vehicleTypeId; battery-electric adjustment
2041_Honda_CR-V_4WDc5,2250,suv/crossover keyword in vehicleTypeId; fuel-cell adjustment
2041_Toyota_Tundra_2WDc2,2100,default passenger-car weight; battery-electric adjustment
2041_Toyota_Prius_v,1700,default passenger-car weight
2041_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2041_Toyota_Sienna_2WD,1700,default passenger-car weight
2041_Kia_Soulc6,1850,default passenger-car weight; fuel-cell adjustment
2041_GMC_Acadia_FWD,1700,default passenger-car weight
2041_Infiniti_QX60_Hybrid_FWD,1700,default passenger-car weight
2041_Tesla_Model_3e6e3e5,2100,default passenger-car weight; battery-electric adjustment
2041_Lincoln_MKZ_Hybrid_FWD,1700,default passenger-car weight
2038_Toyota_Highlander_2WD,2100,suv/crossover keyword in vehicleTypeId
2038_Chrysler_Town_and_Countryc4,1950,default passenger-car weight; plug-in hybrid adjustment
2038_Toyota_Mirai,1850,default passenger-car weight; fuel-cell adjustment
2038_Tesla_Model_3e6e3e5,2100,default passenger-car weight; battery-electric adjustment
2038_Ford_F150_Pickup_4WDc3,3000,pickup keyword in vehicleTypeId; battery-electric adjustment
2038_Ford_Transit_Connect_Van_2WDc2,2600,van/minivan keyword in vehicleTypeId; battery-electric adjustment
2038_Lexus_NX_300h,1700,default passenger-car weight
2038_Honda_Odysseyc5,2350,van/minivan keyword in vehicleTypeId; fuel-cell adjustment
2038_Subaru_Outback_AWDc2,1950,default passenger-car weight; plug-in hybrid adjustment
2038_Toyota_Sienna_2WD,1700,default passenger-car weight
2038_Lincoln_MKZ_Hybrid_FWD,1700,default passenger-car weight
2038_BMW_M235ic2,1950,default passenger-car weight; plug-in hybrid adjustment
2038_Ram_1500_4WDc6,2850,pickup keyword in vehicleTypeId; plug-in hybrid adjustment
2038_Chevrolet_City_Express_Cargo_Van,2200,van/minivan keyword in vehicleTypeId
2038_Ram_1500_4WDc5,2600,pickup keyword in vehicleTypeId
2038_Honda_CR-V_4WDc5,2250,suv/crossover keyword in vehicleTypeId; fuel-cell adjustment
2038_Toyota_Prius_v,1700,default passenger-car weight
2038_Ford_Fusion_FWD,1700,default passenger-car weight
2038_Tesla_Model_Ye5,2100,default passenger-car weight; battery-electric adjustment
2044_Ford_F150_Pickup_4WDc3,3000,pickup keyword in vehicleTypeId; battery-electric adjustment
2044_Ram_1500_4WDc6,2850,pickup keyword in vehicleTypeId; plug-in hybrid adjustment
2044_Lexus_NX_300h,1700,default passenger-car weight
